ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Tags,In stock?,Meta: _price_min,Meta: _price_max,Meta: _price_avg,Meta: _nb_sources,Meta: _last_update
,simple,SB-NIK-AIR-FORCE-1-HI,Nike Air Force 1 High,1,Prix agrégés marché FR — 43 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 94.99 €, max 166.23 €, moyenne 129.99 €. Dernière mise à jour : 2026-03-28 19:29:13.",166.23,129.99,Sneakers > Nike,"Nike,sneakers,FR",1,94.99,166.23,129.99,43,2026-03-28 19:29:13
,simple,SB-NIK-AIR-FORCE-1-LO,Nike Air Force 1 Low,1,Prix agrégés marché FR — 46 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 79.99 €, max 139.98 €, moyenne 115.50 €. Dernière mise à jour : 2026-03-28 19:29:13.",139.98,115.50,Sneakers > Nike,"Nike,sneakers,FR",1,79.99,139.98,115.50,46,2026-03-28 19:29:13
,simple,SB-NIK-AIR-FORCE-1-MI,Nike Air Force 1 Mid,1,Prix agrégés marché FR — 40 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 157.50 €, moyenne 122.64 €. Dernière mise à jour : 2026-03-28 19:29:13.",157.50,122.64,Sneakers > Nike,"Nike,sneakers,FR",1,90.00,157.50,122.64,40,2026-03-28 19:29:13
,simple,SB-NIK-AIR-MAX-90-ESS,Nike Air Max 90 Essential,1,Prix agrégés marché FR — 43 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 157.50 €, moyenne 126.93 €. Dernière mise à jour : 2026-03-28 19:29:13.",157.50,126.93,Sneakers > Nike,"Nike,sneakers,FR",1,90.00,157.50,126.93,43,2026-03-28 19:29:13
,simple,SB-NIK-AIR-MAX-90-GOR,Nike Air Max 90 Gore-Tex,1,Prix agrégés marché FR — 47 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 89.95 €, max 157.41 €, moyenne 125.71 €. Dernière mise à jour : 2026-03-28 19:29:13.",157.41,125.71,Sneakers > Nike,"Nike,sneakers,FR",1,89.95,157.41,125.71,47,2026-03-28 19:29:13
,simple,SB-NIK-AIR-MAX-90-PRE,Nike Air Max 90 Premium,1,Prix agrégés marché FR — 46 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 94.99 €, max 166.23 €, moyenne 129.89 €. Dernière mise à jour : 2026-03-28 19:29:13.",166.23,129.89,Sneakers > Nike,"Nike,sneakers,FR",1,94.99,166.23,129.89,46,2026-03-28 19:29:13
,simple,SB-NIK-AIR-MAX-95-ESS,Nike Air Max 95 Essential,1,Prix agrégés marché FR — 40 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 94.99 €, max 166.23 €, moyenne 132.68 €. Dernière mise à jour : 2026-03-28 19:29:13.",166.23,132.68,Sneakers > Nike,"Nike,sneakers,FR",1,94.99,166.23,132.68,40,2026-03-28 19:29:13
,simple,SB-NIK-DUNK-HIGH-RETR,Nike Dunk High Retro,1,Prix agrégés marché FR — 30 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 79.99 €, max 135.00 €, moyenne 107.38 €. Dernière mise à jour : 2026-03-28 19:29:13.",135.00,107.38,Sneakers > Nike,"Nike,sneakers,FR",1,79.99,135.00,107.38,30,2026-03-28 19:29:13
,simple,SB-NIK-DUNK-LOW-PRO,Nike Dunk Low Pro,1,Prix agrégés marché FR — 45 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 157.50 €, moyenne 125.72 €. Dernière mise à jour : 2026-03-28 19:29:13.",157.50,125.72,Sneakers > Nike,"Nike,sneakers,FR",1,90.00,157.50,125.72,45,2026-03-28 19:29:13
,simple,SB-NIK-DUNK-LOW-RETRO,Nike Dunk Low Retro,1,Prix agrégés marché FR — 46 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 157.50 €, moyenne 119.23 €. Dernière mise à jour : 2026-03-28 19:29:13.",157.50,119.23,Sneakers > Nike,"Nike,sneakers,FR",1,90.00,157.50,119.23,46,2026-03-28 19:29:13
